ID_Prot;Organism
Q9VNL4;Drosophila
Q9W4C5;Drosophila
Q9V773;Drosophila
Q9V774;Drosophila
Q9V776;Drosophila
P46461;Drosophila
Q9VLJ0;Drosophila
P42787;Drosophila
O77215;Drosophila
B6JUP5;Drosophila
Q8SWU7;Drosophila
Q9NHE5;Drosophila
P48462;Drosophila
Q9VBL6;Drosophila
Q9VBL7;Drosophila
Q8MT36;Drosophila
P17336;Drosophila
O02649;Drosophila
Q8SZ63;Drosophila
Q9VLU5;Drosophila
Q9VLU4;Drosophila
Q9VLU6;Drosophila
Q9V6Y3;Drosophila
Q9VLU0;Drosophila
P41894;Drosophila
Q8ST83;Drosophila
Q9V3X5;Drosophila
Q24342;Drosophila
Q7KR10;Drosophila
Q9V3G6;Drosophila
Q9V3G7;Drosophila
Q9V3G1;Drosophila
Q9V3G3;Drosophila
Q9VM51;Drosophila
Q9V9Y9;Drosophila
O02002;Drosophila
Q09147;Drosophila
Q9VFP1;Drosophila
P21750;Drosophila
Q02637;Drosophila
Q9VMC8;Drosophila
Q9VMC9;Drosophila
Q8SXT3;Drosophila
Q9W0M2;Drosophila
Q24009;Drosophila
Q24008;Drosophila
Q7JUY7;Drosophila
Q9V399;Drosophila
Q8MYY6;Drosophila
Q9Y1I2;Drosophila
Q9VW12;Drosophila
Q8IN94;Drosophila
P82295;Drosophila
Q9XTL9;Drosophila
Q9VW14;Drosophila
Q9V557;Drosophila
Q9V558;Drosophila
Q9V559;Drosophila
Q8ITC9;Drosophila
Q05652;Drosophila
P53501;Drosophila
Q9VHE6;Drosophila
Q9VNB5;Drosophila
Q7K4Y6;Drosophila
Q27589;Drosophila
Q95RW8;Drosophila
Q9VQB7;Drosophila
Q5LJP9;Drosophila
Q9VJY6;Drosophila
Q9W4M8;Drosophila
Q9W4M9;Drosophila
Q9VXP4;Drosophila
Q9VCE9;Drosophila
P12252;Drosophila
P40141;Drosophila
P40140;Drosophila
Q9VP22;Drosophila
Q9VCE1;Drosophila
Q9VCE6;Drosophila
Q24174;Drosophila
Q9W367;Drosophila
Q24179;Drosophila
Q24178;Drosophila
Q8INR6;Drosophila
O18640;Drosophila
Q8T498;Drosophila
Q9W1P7;Drosophila
Q7KU24;Drosophila
Q24546;Drosophila
Q9VGU5;Drosophila
Q9VM09;Drosophila
Q9VZL6;Drosophila
P37193;Drosophila
P41092;Drosophila
P41093;Drosophila
Q9VM08;Drosophila
Q9VV28;Drosophila
Q9V3J3;Drosophila
Q9U6A0;Drosophila
Q9VQ57;Drosophila
P11536;Drosophila
P40320;Drosophila
Q9V3J1;Drosophila
Q9VT41;Drosophila
Q7KN90;Drosophila
Q95RC0;Drosophila
Q9VZL7;Drosophila
Q9VE11;Drosophila
P07185;Drosophila
P25228;Drosophila
O76879;Drosophila
Q9VKM1;Drosophila
Q9VKM6;Drosophila
Q8IS44;Drosophila
Q9V4F9;Drosophila
Q9VI55;Drosophila
M9MSG8;Drosophila
Q7PLI7;Drosophila
Q9VVG4;Drosophila
Q9VVG6;Drosophila
P50245;Drosophila
Q9VAQ1;Drosophila
Q8MMC4;Drosophila
Q9VMQ7;Drosophila
P91621;Drosophila
Q9VAQ5;Drosophila
Q9VAQ7;Drosophila
P41094;Drosophila
Q9VFI9;Drosophila
Q8T3U2;Drosophila
P51592;Drosophila
Q6IGX9;Drosophila
Q9VYV5;Drosophila
Q27324;Drosophila
P50882;Drosophila
P08985;Drosophila
P81900;Drosophila
Q9VAG4;Drosophila
Q9VKH6;Drosophila
P81909;Drosophila
Q8MR37;Drosophila
Q8MR31;Drosophila
Q9VCW1;Drosophila
Q9VCW3;Drosophila
Q24595;Drosophila
Q24592;Drosophila
Q9VXB0;Drosophila
Q9W385;Drosophila
Q9VEW2;Drosophila
Q9VXB5;Drosophila
P91623;Drosophila
A8JR14;Drosophila
P13395;Drosophila
Q9VF26;Drosophila
Q9U1H9;Drosophila
Q9VMX1;Drosophila
Q9U5V6;Drosophila
Q7JWG9;Drosophila
P27864;Drosophila
O77237;Drosophila
Q8MUJ1;Drosophila
Q03720;Drosophila
Q9VBQ9;Drosophila
Q9W3J5;Drosophila
Q9VBN7;Drosophila
Q9W3J8;Drosophila
P08879;Drosophila
Q8IQ13;Drosophila
Q08605;Drosophila
Q9Y123;Drosophila
Q6WV17;Drosophila
Q8I9B4;Drosophila
Q95RU0;Drosophila
P12370;Drosophila
Q9VG17;Drosophila
Q9W5R8;Drosophila
Q9W1R5;Drosophila
P07182;Drosophila
P07183;Drosophila
Q7JXF5;Drosophila
Q9W261;Drosophila
P07187;Drosophila
P07184;Drosophila
Q9XZ63;Drosophila
Q9VUM0;Drosophila
Q07886;Drosophila
Q9V831;Drosophila
O77059;Drosophila
A1ZAY1;Drosophila
Q00168;Drosophila
O77051;Drosophila
P05130;Drosophila
Q9VE34;Drosophila
Q9NI63;Drosophila
Q9VYD7;Drosophila
Q9V5Z7;Drosophila
Q9VRC9;Drosophila
Q26454;Drosophila
P17719;Drosophila
P48591;Drosophila
P48592;Drosophila
P48593;Drosophila
P48596;Drosophila
Q9VUT6;Drosophila
P48598;Drosophila
P29327;Drosophila
P05990;Drosophila
